id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
303825606,f95f005b-0093-417e-bf9a-dc83eab9d7c3,2025-08-04 16:43:08,2025-08-04,2025-08-04 20:43:08 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-04 21:51:11 UTC,2025-08-04 21:51:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303825606,https://inaturalist-open-data.s3.amazonaws.com/photos/547652211/medium.jpg,,"",,0,0,false,843,"Queen St, Sherbrooke, QC, CA",45.3585078098,-71.8582452027,33,,,,33,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
303825699,0fb15963-9c43-48ef-84c0-f5edc885cbfb,2025-08-04 16:38:51,2025-08-04,2025-08-04 20:38:51 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-04 21:51:38 UTC,2025-08-04 21:51:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303825699,https://inaturalist-open-data.s3.amazonaws.com/photos/547652366/medium.jpg,,"",,0,0,false,843,"Queen St, Sherbrooke, QC, CA",45.3582832419,-71.8586404102,3,,,,3,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
303825721,5d658d7a-c753-4378-bb4e-24690b9b96fe,2025-08-04 16:39:10,2025-08-04,2025-08-04 20:39:10 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-04 21:51:45 UTC,2025-08-04 21:51:46 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303825721,https://inaturalist-open-data.s3.amazonaws.com/photos/547652411/medium.jpg,,"",,0,0,false,843,"Queen St, Sherbrooke, QC, CA",45.3582840542,-71.8586537101,4,,,,4,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
303825743,2cf528f5-4f31-4769-9958-42422639a6f0,2025-08-04 16:39:39,2025-08-04,2025-08-04 20:39:39 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-04 21:51:52 UTC,2025-08-04 21:51:53 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303825743,https://inaturalist-open-data.s3.amazonaws.com/photos/547652463/medium.jpg,,"",,0,0,false,843,"Queen St, Sherbrooke, QC, CA",45.3584127115,-71.8583089651,28,,,,28,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
303825761,452caa84-2c79-451a-a2aa-5b4556ea4118,2025-08-04 16:40:51,2025-08-04,2025-08-04 20:40:51 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-04 21:51:59 UTC,2025-08-04 21:52:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303825761,https://inaturalist-open-data.s3.amazonaws.com/photos/547652500/medium.jpg,,"",,0,0,false,843,"Queen St, Sherbrooke, QC, CA",45.3585014816,-71.8584612565,21,,,,21,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
303825791,18020b8e-db0b-49d5-8fc5-ddc466ea8072,2025-08-04 16:41:21,2025-08-04,2025-08-04 20:41:21 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-04 21:52:07 UTC,2025-08-04 21:52:08 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/303825791,https://inaturalist-open-data.s3.amazonaws.com/photos/547652539/medium.jpg,,"",,0,0,false,843,"Queen St, Sherbrooke, QC, CA",45.3585384677,-71.8585091495,26,,,,26,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
304753768,31c90e22-f511-43c5-88ee-909ffca53f56,2025-08-08 12:46:17,2025-08-08,2025-08-08 16:46:17 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-08 16:51:59 UTC,2025-08-08 16:51:59 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/304753768,https://inaturalist-open-data.s3.amazonaws.com/photos/549421821/medium.jpg,,"",,0,0,false,843,"Rue Druillettes, Sherbrooke, QC, CA",45.3860841146,-71.9067525554,24,,,,24,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
304753793,81dc4024-a7aa-42db-bfc8-377e8e806af5,2025-08-08 12:46:29,2025-08-08,2025-08-08 16:46:29 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-08 16:52:06 UTC,2025-08-08 16:52:07 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/304753793,https://inaturalist-open-data.s3.amazonaws.com/photos/549421877/medium.jpg,,"",,0,0,false,843,"Rue Druillettes, Sherbrooke, QC, CA",45.3858833808,-71.9064660827,6,,,,6,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
304753817,25521c85-bcae-4947-bb43-f618c0d20315,2025-08-08 12:46:40,2025-08-08,2025-08-08 16:46:40 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-08 16:52:14 UTC,2025-08-08 16:52:15 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/304753817,https://inaturalist-open-data.s3.amazonaws.com/photos/549421928/medium.jpg,,"",,0,0,false,843,"Rue Druillettes, Sherbrooke, QC, CA",45.3858929657,-71.9064475672,5,,,,5,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
304753887,ed2bca81-50bc-4340-997a-f63fb8ebd378,2025-08-08 12:47:18,2025-08-08,2025-08-08 16:47:18 UTC,Eastern Time (US & Canada),9030668,omar_guettache,,2025-08-08 16:52:31 UTC,2025-08-08 16:52:32 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/304753887,https://inaturalist-open-data.s3.amazonaws.com/photos/549422034/medium.jpg,,"",,0,0,false,843,"Rue Massé, Sherbrooke, QC, CA",45.386167826,-71.9066478921,18,,,,18,,open,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
