id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
239848493,2efa9696-9d78-4f61-8c71-ec4eb79a3982,2024-09-04 15:44:01,2024-09-04,2024-09-04 19:44:01 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-04 19:46:17 UTC,2024-09-05 00:03:47 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/239848493,https://inaturalist-open-data.s3.amazonaws.com/photos/427231440/medium.jpeg,,"",Tomate (solanum licopersicum),0,0,true,2,,,,9,,,,27190,private,,true,,,Tomate,Solanum lycopersicum,Tomate,Plantae,51737
239850318,5ca812d4-9c98-444b-93d7-1d018c1cea56,2024-09-04 15:53:49,2024-09-04,2024-09-04 19:53:49 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-04 19:56:22 UTC,2024-09-05 00:02:17 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/239850318,https://inaturalist-open-data.s3.amazonaws.com/photos/427235513/medium.jpeg,,"",Cornouiller de tartarie (Cornus alba) ,0,0,true,2,"Sherbrooke, QC J1K 2N4, Canada",45.38640713,-71.92608644,5,,,,5,,,false,,,cornouiller blanc,Cornus alba,cornouiller blanc,Plantae,124879
239850844,caa72c89-b76d-4ba7-b7ac-f03d1ddf65eb,2024-09-04 15:57:15,2024-09-04,2024-09-04 19:57:15 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-04 19:59:09 UTC,2024-09-07 02:40:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/239850844,https://inaturalist-open-data.s3.amazonaws.com/photos/427236482/medium.jpeg,,"",Érables blanc ( Acer  platanoides),2,0,false,2,"Sherbrooke, QC J1K 2N4, Canada",45.38634999,-71.92612891,6,,,,6,,open,false,,,Érable plane,Acer platanoides,Érable plane,Plantae,54763
239851429,f749f0b2-8cc5-46f4-88f1-def18275575b,2024-09-04 16:01:35,2024-09-04,2024-09-04 20:01:35 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-04 20:02:39 UTC,2025-07-15 17:16:35 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/239851429,https://inaturalist-open-data.s3.amazonaws.com/photos/427237670/medium.jpeg,,"",Gazon anglais (Axonopus fissifolius),2,1,false,2,"Sherbrooke, QC J1K 2N4, Canada",45.38566137,-71.92624199,5,,,,5,,open,false,,,Poacées,Poaceae,Poacées,Plantae,47434
239851798,1fa8d85d-ad42-4afc-8486-19413b6dd567,2024-09-04 16:03:56,2024-09-04,2024-09-04 20:03:56 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-04 20:05:15 UTC,2024-09-04 20:27:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/239851798,https://inaturalist-open-data.s3.amazonaws.com/photos/427238333/medium.jpeg,,"",Pommier domestique (Malus pumila),0,0,false,2,"Sherbrooke, QC J1K 2N6, Canada",45.38538226,-71.92623327,6,,,,6,,,false,,,Pommier domestique (Malus pumila),Malus domestica,pommier commun,Plantae,469472
240214579,eca60ab0-65d8-4d6f-89c4-d5a0aa89a848,2024-09-06 17:52:38,2024-09-06,2024-09-06 21:52:38 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-06 21:53:10 UTC,2024-09-06 21:53:16 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240214579,https://inaturalist-open-data.s3.amazonaws.com/photos/427933107/medium.jpeg,,"",,0,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.38312945,-71.91176983,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240216929,158feb06-6207-42ac-ae3b-a0e715f2b836,2024-09-06 17:53:36,2024-09-06,2024-09-06 21:53:36 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-06 22:10:13 UTC,2024-09-06 22:10:18 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240216929,https://inaturalist-open-data.s3.amazonaws.com/photos/427937749/medium.jpeg,,"",,0,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.38312189,-71.91175544,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240216948,441b7316-6dd3-44bc-a03b-96e49dea2fdb,2024-09-06 17:54:33,2024-09-06,2024-09-06 21:54:33 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-06 22:10:20 UTC,2024-09-06 22:10:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240216948,https://inaturalist-open-data.s3.amazonaws.com/photos/427937771/medium.jpeg,,"",,0,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.383136,-71.91163584,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240216958,1a1e2fc4-1d0e-40c0-b4b6-d572dd2a6528,2024-09-06 17:55:23,2024-09-06,2024-09-06 21:55:23 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-06 22:10:27 UTC,2024-09-06 22:10:32 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240216958,https://inaturalist-open-data.s3.amazonaws.com/photos/427937800/medium.jpeg,,"",,0,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.38312466,-71.91164696,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240216973,ac6d2e32-1b7a-4f4b-9df6-a658bb296fd5,2024-09-06 17:56:38,2024-09-06,2024-09-06 21:56:38 UTC,Eastern Time (US & Canada),8529503,wsagard,Wilfix SAGARD,2024-09-06 22:10:34 UTC,2024-09-06 22:10:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240216973,https://inaturalist-open-data.s3.amazonaws.com/photos/427937828/medium.jpeg,,"",,0,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.38306421,-71.91150229,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
