id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
240209582,a87c4408-03af-4a4f-919e-c06b8c67714f,2024-09-06 17:20:08,2024-09-06,2024-09-06 21:20:08 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:21:13 UTC,2025-08-07 19:09:53 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240209582,https://inaturalist-open-data.s3.amazonaws.com/photos/427923454/medium.jpeg,,"",Ambroisie à feuilles d'armoise ,0,0,false,2,"Sherbrooke, QC J1H 6L5, Canada",45.3805773,-71.91168962,3,,,,3,,open,false,,,common ragweed,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240210022,5b43a731-6f32-4961-a55d-0f70863c4478,2024-09-06 17:23:34,2024-09-06,2024-09-06 21:23:34 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:24:24 UTC,2024-09-07 14:07:59 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240210022,https://inaturalist-open-data.s3.amazonaws.com/photos/427924313/medium.jpeg,,"",Amboisie à feuilles d'armoise ,0,0,false,2,"Sherbrooke, QC J1H 6L5, Canada",45.3806263,-71.91179327,3,,,,3,,,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240210335,8838422e-6926-4cc3-acf2-ef170193a4e4,2024-09-06 17:25:50,2024-09-06,2024-09-06 21:25:50 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:26:23 UTC,2024-09-07 14:07:51 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240210335,https://inaturalist-open-data.s3.amazonaws.com/photos/427924807/medium.jpeg,,"",Amboisie à feuilles d'armoise ,0,0,false,2,"Sherbrooke, QC J1H 6L5, Canada",45.38063633,-71.9116405,3,,,,3,,,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240210457,e39ba325-1196-4fd5-a2d7-d5b2c0f3ab27,2024-09-06 17:26:40,2024-09-06,2024-09-06 21:26:40 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:27:10 UTC,2024-09-07 14:06:12 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240210457,https://inaturalist-open-data.s3.amazonaws.com/photos/427925072/medium.jpeg,,"",Amboisie à feuilles d'armoise ,0,0,false,2,"Sherbrooke, QC J1H 6L5, Canada",45.38070156,-71.9115828,3,,,,3,,,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240210580,fffd1eda-8a19-4148-bca3-cb0a583dd2ea,2024-09-06 17:27:32,2024-09-06,2024-09-06 21:27:32 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:27:54 UTC,2024-09-07 14:06:08 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240210580,https://inaturalist-open-data.s3.amazonaws.com/photos/427925375/medium.jpeg,,"",Amboisie à feuilles d'armoise ,0,0,false,2,"Sherbrooke, QC J1H 6L5, Canada",45.38073334,-71.9114189,3,,,,3,,,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240210749,006a4da6-73b4-4a60-adb8-81bcd3f9e586,2024-09-06 17:28:53,2024-09-06,2024-09-06 21:28:53 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:29:18 UTC,2024-09-07 14:06:01 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/240210749,https://inaturalist-open-data.s3.amazonaws.com/photos/427925805/medium.jpeg,,"",Amboisie à feuilles d'armoise ,0,0,false,2,"Sherbrooke, QC J1H 6L5, Canada",45.38097791,-71.91106974,3,,,,3,,,false,,,,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240211294,8fb33f6e-bdbf-4f88-8047-38b0fc91600f,2024-09-06 17:31:24,2024-09-06,2024-09-06 21:31:24 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:31:56 UTC,2024-09-07 14:05:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/240211294,https://inaturalist-open-data.s3.amazonaws.com/photos/427926630/medium.jpeg,,"",Amboisie à feuilles d'armoise ,2,0,false,2,"Sherbrooke, QC J1H 6L5, Canada",45.38084125,-71.9119935,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240211600,5c141b38-a57c-4836-b329-eaacf01406ec,2024-09-06 17:33:30,2024-09-06,2024-09-06 21:33:30 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:33:56 UTC,2024-09-07 14:07:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/240211600,https://inaturalist-open-data.s3.amazonaws.com/photos/427927234/medium.jpeg,,"",Amboisie à feuilles d'armoise ,3,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.3811276,-71.91224152,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240213293,c256d883-439b-487c-b683-d9608253b7f1,2024-09-06 17:44:34,2024-09-06,2024-09-06 21:44:34 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:45:04 UTC,2024-09-07 14:07:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/240213293,https://inaturalist-open-data.s3.amazonaws.com/photos/427930692/medium.jpeg,,"",Amboisie à feuilles d'armoise ,2,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.38298234,-71.91191477,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
240213979,ad27be13-4874-4118-b3d5-16fd0d49e321,2024-09-06 17:47:45,2024-09-06,2024-09-06 21:47:45 UTC,Eastern Time (US & Canada),8529683,fritzno,,2024-09-06 21:48:35 UTC,2024-09-07 14:07:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/240213979,https://inaturalist-open-data.s3.amazonaws.com/photos/427931791/medium.jpeg,,"",Amboisie à feuilles d'armoise ,2,0,false,2,"Sherbrooke, QC J1H 2W2, Canada",45.38308788,-71.9117788,3,,,,3,,,false,,,Ambroisie à feuilles d'armoise,Ambrosia artemisiifolia,petite herbe à poux,Plantae,53587
